Customer ID,preferred_payment_method,total_spend,addons_spend
1000,Paypal,741.09,26.09
1002,Credit Card,5020.60,60.16
1003,Cash,41.50,35.56
1004,Credit Card,83.00,65.78
1005,Paypal,11779.11,75.33
1006,Cash,6645.94,90.38
1007,,0.00,0.00
1008,Cash,3379.32,65.85
1011,Credit Card,7911.90,70.17
1013,,0.00,0.00
1014,Cash,4747.14,8.30
1015,Paypal,83.00,80.00
1016,Paypal,103.75,0.00
1018,Paypal,124.50,70.39
1019,Cash,988.12,37.87
1020,,0.00,0.00
1021,Cash,844.83,49.54
1022,,0.00,0.00
1024,Cash,1582.38,51.93
1025,Debit Card,2866.76,77.78
1027,Paypal,4747.14,0.00
1028,Debit Card,6758.64,0.00
1030,Debit Card,4224.15,46.03
1031,Debit Card,6017.56,17.79
1033,Debit Card,4152.88,49.24
1035,Cash,249.00,33.56
1036,,0.00,0.00
1038,Debit Card,14976.71,83.95
1039,Credit Card,1729.21,0.00
1040,Credit Card,6329.52,92.79
1042,Cash,5913.81,111.25
1043,Debit Card,207.50,0.00
1047,Debit Card,2470.30,63.23
1048,,0.00,0.00
1049,Paypal,145.25,86.36
1052,,0.00,0.00
1053,Debit Card,4175.64,88.30
1054,Paypal,62.25,79.90
1056,Credit Card,1855.84,41.24
1057,,0.00,0.00
1058,Paypal,166.00,92.57
1059,Paypal,3711.68,71.69
1060,Paypal,4920.40,133.49
1061,Cash,2440.20,97.90
1062,Debit Card,6329.52,26.24
1063,Paypal,1855.84,0.00
1066,Credit Card,2373.57,40.68
1067,Debit Card,1689.66,81.55
1069,Cash,145.25,96.61
1070,,0.00,0.00
1071,Debit Card,7603.47,0.00
1073,Cash,4199.51,55.04
1074,Cash,7603.47,58.95
1077,Cash,3855.75,25.14
1079,Paypal,5579.83,134.83
1080,Credit Card,247.03,16.65
1083,Credit Card,3379.32,0.00
1085,Cash,761.84,101.40
1086,Paypal,166.00,25.72
1089,Debit Card,3955.95,0.00
1090,,0.00,0.00
1091,,0.00,0.00
1093,Credit Card,7120.71,29.11
1094,Debit Card,20.75,0.00
1096,Paypal,4681.10,113.21
1097,Paypal,988.12,51.12
1099,,0.00,0.00
1100,Credit Card,4120.41,84.57
1101,Cash,311.25,291.34
1102,,0.00,0.00
1105,Debit Card,1482.18,102.00
1109,Debit Card,186.75,42.66
1110,Credit Card,207.50,0.00
1112,Paypal,4446.54,112.36
1114,Paypal,4747.14,71.97
1115,Paypal,1091.86,0.00
1116,Cash,4175.64,0.00
1117,Debit Card,1689.66,48.25
1119,Credit Card,1482.18,65.34
1120,Debit Card,186.75,48.52
1122,,0.00,0.00
1123,Debit Card,791.19,5.86
1124,Credit Card,8732.28,189.86
1125,Debit Card,9625.49,67.21
1127,Paypal,6758.64,65.02
1129,,0.00,0.00
1130,Debit Card,4747.14,46.92
1132,Cash,124.50,48.93
1133,Cash,8150.52,120.48
1134,Paypal,14378.15,112.42
1136,Credit Card,844.83,41.06
1139,,0.00,0.00
1141,Paypal,5124.31,114.27
1142,Cash,4175.64,33.15
1143,Cash,3379.32,0.00
1144,Debit Card,844.83,89.92
1145,Cash,145.25,39.70
1147,Cash,8448.30,85.51
1148,Cash,6426.25,102.68
1149,Debit Card,3462.32,136.92
1150,Debit Card,5538.33,35.65
1151,Paypal,1235.15,76.73
1152,Cash,124.50,66.83
1154,Credit Card,463.96,0.00
1155,Debit Card,9869.76,87.10
1160,,0.00,0.00
1162,,0.00,0.00
1167,Paypal,124.50,61.43
1168,,0.00,0.00
1169,,0.00,0.00
1170,Credit Card,5538.33,76.57
1171,Debit Card,9152.57,239.13
1174,,0.00,0.00
1175,Credit Card,3247.72,108.15
1177,Paypal,2783.76,69.00
1178,,0.00,0.00
1180,Paypal,7603.47,0.00
1181,Paypal,3955.95,35.87
1182,Debit Card,11867.85,54.77
1183,,0.00,0.00
1184,Debit Card,1391.88,90.90
1185,,0.00,0.00
1186,,0.00,0.00
1187,Debit Card,2534.49,0.00
1188,Credit Card,2373.57,75.39
1189,Credit Card,494.06,0.00
1190,Cash,8981.91,84.43
1192,Paypal,41.50,131.53
1193,Credit Card,2470.30,132.76
1194,Cash,494.06,0.00
1195,Credit Card,3247.72,0.00
1196,Cash,1255.15,31.26
1197,Credit Card,4286.40,53.73
1199,Debit Card,1482.18,22.07
1203,Credit Card,2319.80,22.29
1205,Debit Card,1729.21,0.00
1208,Debit Card,844.83,0.00
1210,Paypal,8448.30,0.00
1211,Cash,3130.35,108.88
1212,,0.00,0.00
1215,,0.00,0.00
1216,Cash,2373.57,60.11
1217,Cash,7256.64,194.24
1218,,0.00,0.00
1220,Cash,186.75,56.39
1222,Credit Card,8448.30,71.08
1223,Cash,166.00,0.00
1224,Cash,5538.33,103.02
1226,,0.00,0.00
1227,Debit Card,1582.38,70.87
1228,,0.00,0.00
1229,,0.00,0.00
1232,Cash,4747.14,12.25
1234,Credit Card,12672.45,57.21
1235,Credit Card,103.75,37.79
1236,,0.00,0.00
1237,Paypal,1976.24,201.82
1244,Credit Card,4747.14,38.51
1245,,0.00,0.00
1246,Paypal,494.06,0.00
1247,Credit Card,1729.21,42.34
1248,Credit Card,62.25,81.47
1250,,0.00,0.00
1251,Cash,4175.64,75.04
1252,Credit Card,7911.90,27.99
1253,Paypal,12980.88,79.98
1254,Credit Card,2223.27,75.85
1255,Paypal,311.25,80.62
1256,,0.00,0.00
1257,Credit Card,124.50,84.68
1258,Cash,988.12,94.38
1261,Credit Card,791.19,26.35
1262,Credit Card,3955.95,121.05
1263,Cash,11827.62,54.86
1264,Cash,186.75,0.00
1265,Debit Card,1829.41,7.28
1266,,0.00,0.00
1267,Debit Card,1729.21,0.00
1268,Cash,13195.44,14.76
1269,Paypal,186.75,96.66
1271,Cash,247.03,0.00
1272,Debit Card,2470.30,40.76
1276,Debit Card,1729.21,36.60
1277,Cash,247.03,38.42
1278,Credit Card,6876.31,146.36
1280,Debit Card,6883.14,23.94
1283,Debit Card,186.75,102.23
1286,Debit Card,4235.84,205.97
1287,Cash,4861.50,80.21
1288,Paypal,7911.90,8.99
1290,,0.00,0.00
1292,Paypal,7187.34,174.81
1293,Paypal,4747.14,57.53
1294,Cash,3711.68,16.04
1295,,0.00,0.00
1296,Cash,6903.89,19.74
1298,Credit Card,1729.21,76.31
1299,Credit Card,7911.90,53.40
1300,Cash,166.00,86.54
1301,Credit Card,791.19,30.63
1302,Debit Card,145.25,95.51
1303,Paypal,2560.32,95.66
1304,Debit Card,741.09,0.00
1305,Credit Card,3164.76,78.20
1306,Debit Card,62.25,53.16
1307,Cash,927.92,82.51
1308,Paypal,1391.88,41.62
1309,Paypal,5068.98,118.06
1310,,0.00,0.00
1311,Credit Card,2534.49,100.29
1312,Debit Card,83.00,118.23
1313,Paypal,6476.35,72.51
1314,Cash,124.50,27.93
1315,,0.00,0.00
1316,Paypal,6758.64,0.00
1317,Credit Card,1689.66,47.80
1318,Paypal,2470.30,0.00
1320,Credit Card,5913.81,16.40
1321,Paypal,1976.24,39.25
1324,,0.00,0.00
1326,Debit Card,6758.64,0.00
1327,Paypal,1391.88,46.10
1328,,0.00,0.00
1329,Debit Card,2373.57,20.49
1331,Credit Card,4224.15,76.41
1333,Cash,8384.11,94.43
1335,Credit Card,10446.39,155.15
1337,Credit Card,1482.18,20.32
1340,Debit Card,6181.98,61.57
1341,,0.00,0.00
1342,Paypal,3379.32,0.00
1344,,0.00,0.00
1347,Credit Card,4639.60,0.00
1348,Cash,7471.87,156.73
1349,Credit Card,5538.33,81.26
1350,Cash,5913.81,0.00
1351,,0.00,0.00
1352,Credit Card,3855.75,141.92
1353,Debit Card,5538.33,60.59
1354,Paypal,2319.80,56.83
1355,Credit Card,5657.82,173.27
1356,Credit Card,8448.30,51.48
1357,,0.00,0.00
1358,,0.00,0.00
1359,,0.00,0.00
1362,,0.00,0.00
1363,Credit Card,20.75,15.89
1364,Paypal,2534.49,0.00
1365,Cash,7911.90,0.00
1368,Paypal,145.25,29.47
1369,Credit Card,7120.71,0.00
